source,predicted_destination,target_path,score,action,method,reasons
Declaration of Kevin D Turnage PMAP.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/Declaration of Kevin D Turnage PMAP.pdf,80,would_move,,matched 'declaration'
Declaration under Penalty of Perjury 04142025.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/Declaration under Penalty of Perjury 04142025.pdf,80,would_move,,matched 'declaration'
declaration_religious_exercise_rfra.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/declaration_religious_exercise_rfra.pdf,80,would_move,,matched 'declaration'
DEPARTMENT OF HEALTH & HUMAN SERVICES pf.pdf,01_Case_Management/Service,01_Case_Management/Service/DEPARTMENT OF HEALTH & HUMAN SERVICES pf.pdf,78,would_move,,path/name mentions 01_Case_Management/Service | matched 'service'
Deposition Questions for Turnage v. HHS Depositions.pdf,05_Legal_Authorities/Cases,05_Legal_Authorities/Cases/Deposition Questions for Turnage v. HHS Depositions.pdf,85,would_move,,matched ' v. '
DHHS Envelope.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
DI-16-2511 WB Closure Ltr.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 1 Plaintiffs Motion in Limine.pdf,09_Trial/Trial_Briefs,09_Trial/Trial_Briefs/Doc 1 Plaintiffs Motion in Limine.pdf,85,would_move,,matched 'in limine'
Doc 1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 23 Order in Motion Limine with Prejudice.pdf,01_Case_Management/Court_Orders,01_Case_Management/Court_Orders/Doc 23 Order in Motion Limine with Prejudice.pdf,75,would_move,,matched 'order'
Doc 29-1 Redlined Amended Complaint.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/Doc 29-1 Redlined Amended Complaint.pdf,160,would_move,,matched 'complaint' | matched 'amended complaint'
Doc 32 First Amended Complaint.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/Doc 32 First Amended Complaint.pdf,160,would_move,,matched 'complaint' | matched 'amended complaint'
Doc 33 AO440 New Defendants.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 47 redownload.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 47.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 49  Order denying Second Motion to Amend.pdf,02_Pleadings/Motions,02_Pleadings/Motions/Doc 49  Order denying Second Motion to Amend.pdf,140,would_move,,matched 'motion' | matched 'motion to'
Doc 51 MOTION FOR LEAVE TO SERVE THIRD-PARTY SUBPOENA PRIOR TO RULE 26(f) CONFERENCE.pdf,03_Discovery/Subpoenas,03_Discovery/Subpoenas/Doc 51 MOTION FOR LEAVE TO SERVE THIRD-PARTY SUBPOENA PRIOR TO RULE 26(f) CONFERENCE.pdf,90,would_move,,matched 'subpoena'
Doc 52 [PROPOSED] ORDER GRANTING PLAINTIFF’S MOTION FOR LEAVE TO SERVE THIRD-PARTY SUBPOENA PRIOR TO RULE 26(f) CONFERENCE.pdf,03_Discovery/Subpoenas,03_Discovery/Subpoenas/Doc 52 [PROPOSED] ORDER GRANTING PLAINTIFF’S MOTION FOR LEAVE TO SERVE THIRD-PARTY SUBPOENA PRIOR TO RULE 26(f) CONFERENCE.pdf,90,would_move,,matched 'subpoena'
Doc 64-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 64.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 65 Notice of Errata to Doc. 64.pdf,02_Pleadings/Notices,02_Pleadings/Notices/Doc 65 Notice of Errata to Doc. 64.pdf,130,would_move,,matched 'notice' | matched 'notice of'
Doc 66-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 66-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 66-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 66-4.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 66-5.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 66.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Doc 67.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Document 29 Notice of First Amended Complaint.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/Document 29 Notice of First Amended Complaint.pdf,160,would_move,,matched 'complaint' | matched 'amended complaint'
Document 37.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Document 39.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Document 41 AO440 McCabe with Seal 12292025.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Document 46 AO440 Birdshead.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Document 47 Motion in Opposition.pdf,02_Pleadings/Motions,02_Pleadings/Motions/Document 47 Motion in Opposition.pdf,70,would_move,,matched 'motion'
Document 48 Plaintiff's Response In Support of Motion for Preliminary Injunction.pdf,02_Pleadings/Motions,02_Pleadings/Motions/Document 48 Plaintiff's Response In Support of Motion for Preliminary Injunction.pdf,70,would_move,,matched 'motion'
Document 53 Motion Opposing.pdf,02_Pleadings/Motions,02_Pleadings/Motions/Document 53 Motion Opposing.pdf,70,would_move,,matched 'motion'
Dr. McCabe Email.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
DWL All Emails as of 06122025 optimizedd copy.pdf,04_Exhibits/Emails,,8,review_only,,path/name mentions 04_Exhibits/Emails
DWL Litigation Hold.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
DWL Response to Transmittal Request.pdf,02_Pleadings/Responses,02_Pleadings/Responses/DWL Response to Transmittal Request.pdf,70,would_move,,matched 'response'
ECF - azd 021526.pdf,01_Case_Management/Docket,01_Case_Management/Docket/ECF - azd 021526.pdf,80,would_move,,matched 'ecf'
EEO_Retaliation_Complaint_Revised.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/EEO_Retaliation_Complaint_Revised.pdf,80,would_move,,matched 'complaint'
EEOC All .pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/EEOC All .pdf,115,would_move,,matched 'eeoc' | government-agency acronym
EEOC Determination.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/EEOC Determination.pdf,115,would_move,,matched 'eeoc' | government-agency acronym
EEOC Form 573 - Notice of Appeal Kevin D Turnage.pdf,10_Post_Judgment/Appeal,10_Post_Judgment/Appeal/EEOC Form 573 - Notice of Appeal Kevin D Turnage.pdf,178,would_move,,path/name mentions 10_Post_Judgment/Appeal | matched 'appeal' | matched 'notice of appeal'
EEOC Form 573-2.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/EEOC Form 573-2.pdf,115,would_move,,matched 'eeoc' | government-agency acronym
EM All emails as of 06122025.pdf,04_Exhibits/Emails,,8,review_only,,path/name mentions 04_Exhibits/Emails
Email and Letter Response to Google 011426.pdf,02_Pleadings/Responses,02_Pleadings/Responses/Email and Letter Response to Google 011426.pdf,70,would_move,,matched 'response'
Email Chain October 2022 regarding RA with TG.pdf,00_Admin/Correspondence,,65,review_only,,matched 'email chain'
Email Chain regarding Covid Swabbing TG.pdf,00_Admin/Correspondence,,65,review_only,,matched 'email chain'
Email elevating to HQ 3.21.23 0732.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Email Endrea McCabe 04012026 PMAP - Copy.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Email Endrea McCabe 04012026 PMAP.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Email from Gray Dec 29 2025 0820.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Email March 6 2026 Bellinger.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Email response to Gray Dec 29 2025.pdf,02_Pleadings/Responses,02_Pleadings/Responses/Email response to Gray Dec 29 2025.pdf,70,would_move,,matched 'response'
"Email to BB March 1, 2023.pdf",98_Needs_Review/Uncertain,,0,review_only,,no confident match
employee-grievance-letter-response signed.pdf,02_Pleadings/Responses,02_Pleadings/Responses/employee-grievance-letter-response signed.pdf,70,would_move,,matched 'response'
employee-grievance-letter-response.pdf,02_Pleadings/Responses,02_Pleadings/Responses/employee-grievance-letter-response.pdf,70,would_move,,matched 'response'
Enforcement Guidance on Retaliation and Related Issues _ U.S. Equal Employment Opportunity Commission.pdf,10_Post_Judgment/Enforcement,10_Post_Judgment/Enforcement/Enforcement Guidance on Retaliation and Related Issues _ U.S. Equal Employment Opportunity Commission.pdf,93,would_move,,path/name mentions 10_Post_Judgment/Enforcement | matched 'enforcement'
Escalation of Violations of 5 U.S.C. 2302b Federal Regulations and Internal Compliance Directives Singed.pdf,05_Legal_Authorities/Regulations,05_Legal_Authorities/Regulations/Escalation of Violations of 5 U.S.C. 2302b Federal Regulations and Internal Compliance Directives Singed.pdf,88,would_move,,path/name mentions 05_Legal_Authorities/Regulations | matched 'regulation'
Executive Summary.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Exhibit 2 Second Amended complaint Kevin Turnage Protected Disclosure and Retaliation Timeline.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/Exhibit 2 Second Amended complaint Kevin Turnage Protected Disclosure and Retaliation Timeline.pdf,160,would_move,,matched 'complaint' | matched 'amended complaint'
Exhibit A - Position Description PX3147_ Policy Officer_FINAL.pdf,04_Exhibits/Policies,04_Exhibits/Policies/Exhibit A - Position Description PX3147_ Policy Officer_FINAL.pdf,75,would_move,,matched 'policy'
"Exhibit B ΓÇô Policy Management Policy (Sept. 30, 2024 Revision ΓÇô Old Policy).pdf",04_Exhibits/Policies,"04_Exhibits/Policies/Exhibit B ΓÇô Policy Management Policy (Sept. 30, 2024 Revision ΓÇô Old Policy).pdf",75,would_move,,matched 'policy'
"Exhibit C ΓÇô Policy Management Policy (June 26, 2025 Revision ΓÇô Current Policy).pdf",04_Exhibits/Policies,"04_Exhibits/Policies/Exhibit C ΓÇô Policy Management Policy (June 26, 2025 Revision ΓÇô Current Policy).pdf",75,would_move,,matched 'policy'
Exhibit D ΓÇô Workflow Comparison Chart (2024 vs. 2025).pdf,05_Legal_Authorities/Cases,05_Legal_Authorities/Cases/Exhibit D ΓÇô Workflow Comparison Chart (2024 vs. 2025).pdf,85,would_move,,matched ' vs. '
Exhibit E ΓÇô Timeline of Policy Changes (2019ΓÇô2025).pdf,06_Research/Timelines,06_Research/Timelines/Exhibit E ΓÇô Timeline of Policy Changes (2019ΓÇô2025).pdf,90,would_move,,matched 'timeline'
Exhibit F ΓÇô Declaration of Kevin D. Turnage.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/Exhibit F ΓÇô Declaration of Kevin D. Turnage.pdf,80,would_move,,matched 'declaration'
Exhibit G ΓÇô Supplemental Filing Memorandum.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Exhibit G ΓÇô Supplemental Filing Memorandum.pdf,140,would_move,,matched 'memorandum' | matched 'memo'
Exhibit H ΓÇô Executive Summary (1-Page).pdf,04_Exhibits/Exhibit_Binders,,35,review_only,,filename begins with exhibit
Exhibit I ΓÇô Proposed Corrective Action.pdf,05_Legal_Authorities/Statutes,05_Legal_Authorities/Statutes/Exhibit I ΓÇô Proposed Corrective Action.pdf,80,would_move,,matched 'act'
Exhibit Index ΓÇô Supplemental Filing.pdf,04_Exhibits/Exhibit_Indexes,04_Exhibits/Exhibit_Indexes/Exhibit Index ΓÇô Supplemental Filing.pdf,95,would_move,,matched 'exhibit index'
Exhibit-Stamp.pdf,04_Exhibits/Exhibit_Binders,,35,review_only,,filename begins with exhibit
FACT TIMELINE .pdf,06_Research/Timelines,06_Research/Timelines/FACT TIMELINE .pdf,90,would_move,,matched 'timeline'
Filed Opposition to Motion to Extend.pdf,02_Pleadings/Motions,02_Pleadings/Motions/Filed Opposition to Motion to Extend.pdf,140,would_move,,matched 'motion' | matched 'motion to'
Filing Doc 66 acknowledgment page.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
FINAL+Turnage+v.+HHS+-+Motion+to+Strike+and+Exhibit-1.pdf,02_Pleadings/Motions,02_Pleadings/Motions/FINAL+Turnage+v.+HHS+-+Motion+to+Strike+and+Exhibit-1.pdf,70,would_move,,matched 'motion'
Final_EEOC_Submission_with_Procedural_Technicalities-2.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/Final_EEOC_Submission_with_Procedural_Technicalities-2.pdf,90,would_move,,matched 'eeoc'
Final_Plaintiff_Reply_to_Doc_No_47.pdf,02_Pleadings/Replies,02_Pleadings/Replies/Final_Plaintiff_Reply_to_Doc_No_47.pdf,75,would_move,,matched 'reply'
First Amended Accepted.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Formal Compliance Memorandum.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Formal Compliance Memorandum.pdf,140,would_move,,matched 'memorandum' | matched 'memo'
Formal EEO 13April 2023.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Formal Notice Violation of CMS Conditions of Participation and Policy Governance Failure at Phoenix Indian Medical Center.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/Formal Notice Violation of CMS Conditions of Participation and Policy Governance Failure at Phoenix Indian Medical Center.pdf,90,would_move,,matched 'cms'
Formal Objection and Legal Challenge to Directive Removing Workflow Access Retaliation in Violation of Federal Law Memo Signed.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Formal Objection and Legal Challenge to Directive Removing Workflow Access Retaliation in Violation of Federal Law Memo Signed.pdf,70,would_move,,matched 'memo'
Formal Objection and Legal Clarification of Authority to Reject Noncompliant Policies.pdf,04_Exhibits/Policies,,8,review_only,,path/name mentions 04_Exhibits/Policies
Formal Timeline and Legal Opinion.pdf,06_Research/Timelines,06_Research/Timelines/Formal Timeline and Legal Opinion.pdf,90,would_move,,matched 'timeline'
"Fraud, Waste, or Abuse Complaint 101525.pdf",02_Pleadings/Complaints,"02_Pleadings/Complaints/Fraud, Waste, or Abuse Complaint 101525.pdf",80,would_move,,matched 'complaint'
"Fraud, Waste, or Abuse Complaint060925 all.pdf",02_Pleadings/Complaints,"02_Pleadings/Complaints/Fraud, Waste, or Abuse Complaint060925 all.pdf",80,would_move,,matched 'complaint'
"Fraud, Waste, or Abuse Complaint06102025.pdf",02_Pleadings/Complaints,"02_Pleadings/Complaints/Fraud, Waste, or Abuse Complaint06102025.pdf",80,would_move,,matched 'complaint'
Friday.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Fw_ Notice of leave Emily Drake.pdf,02_Pleadings/Notices,02_Pleadings/Notices/Fw_ Notice of leave Emily Drake.pdf,130,would_move,,matched 'notice' | matched 'notice of'
FW_ Nurse Assessment room.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
GAO Formal ComplaintSigned.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/GAO Formal ComplaintSigned.pdf,115,would_move,,matched 'gao' | government-agency acronym
General Denial HHS-IHS-0334-2022 Signed.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
General Denial HHS-IHS-0334-2022.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Gmail - Confirmation Receipt for Whistleblower RetaliationDEC2024.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Gmail - Fwd_ Fw_ Statement.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Gmail - Fwd_ Fw_ StatementKrumenacker.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Gmail - RE_ Administrative Leave.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Good Enough.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Googl Attachment.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/Googl Attachment.pdf,80,would_move,,matched 'tac'
Google Draft Binder.pdf,04_Exhibits/Exhibit_Binders,04_Exhibits/Exhibit_Binders/Google Draft Binder.pdf,85,would_move,,matched 'binder'
Google Letter 1 Signed.pdf,00_Admin/Correspondence,,65,review_only,,matched 'letter'
Google Response.pdf,02_Pleadings/Responses,02_Pleadings/Responses/Google Response.pdf,70,would_move,,matched 'response'
Google.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Governance Deficiency Notice ΓÇô Pharmacy and Therapeutics (P&T) Committee Charter Missing.pdf,02_Pleadings/Notices,,65,review_only,,matched 'notice'
Grev Step 2 email 03.21.23 1541-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Grievance 030623.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Grievance Letter Signed 06March2023 2.pdf,00_Admin/Correspondence,,65,review_only,,matched 'letter'
HHS Certificate of Service for Kevin D. Turnage Letter of Dismissal (HHS-IHS-0614-2023)- (03-06-26)-Signed by MBJ pf.pdf,01_Case_Management/Service,01_Case_Management/Service/HHS Certificate of Service for Kevin D. Turnage Letter of Dismissal (HHS-IHS-0614-2023)- (03-06-26)-Signed by MBJ pf.pdf,78,would_move,,path/name mentions 01_Case_Management/Service | matched 'service'
HHS Certificate of Service for Kevin D. Turnage Letter of Dismissal (HHS-IHS-0614-2023)- (03-06-26)-Signed by MBJ.pdf,01_Case_Management/Service,01_Case_Management/Service/HHS Certificate of Service for Kevin D. Turnage Letter of Dismissal (HHS-IHS-0614-2023)- (03-06-26)-Signed by MBJ.pdf,78,would_move,,path/name mentions 01_Case_Management/Service | matched 'service'
HHS IHS 0466 2021 0000006 Right to file.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
HHS Instruction 430-1 Performance Management Appraisal Program (PMAP) 2023.pdf,04_Exhibits/Personnel_Records,04_Exhibits/Personnel_Records/HHS Instruction 430-1 Performance Management Appraisal Program (PMAP) 2023.pdf,85,would_move,,matched 'performance'
HHS KT Rebuttal BB.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
HHS KT Rebuttal JW.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
HHS OGC Litigation Hold.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
HHS OIG 100625Other Complaint.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/HHS OIG 100625Other Complaint.pdf,115,would_move,,matched 'oig' | government-agency acronym
HHS OIG Complaint Abuse of Authority 100625.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/HHS OIG Complaint Abuse of Authority 100625.pdf,115,would_move,,matched 'oig' | government-agency acronym
"HHS OIG Confidential Compliance Memorandum OIG and OGC June 10, 2025.pdf",02_Pleadings/Briefs,"02_Pleadings/Briefs/HHS OIG Confidential Compliance Memorandum OIG and OGC June 10, 2025.pdf",140,would_move,,matched 'memorandum' | matched 'memo'
HHS OIG CONFIDENTIAL COMPLIANCE MEMORANDUMSigned.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/HHS OIG CONFIDENTIAL COMPLIANCE MEMORANDUMSigned.pdf,140,would_move,,matched 'memorandum' | matched 'memo'
HHS OIG Coverletter 062525.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/HHS OIG Coverletter 062525.pdf,115,would_move,,matched 'oig' | government-agency acronym
"HHS PMAP Handbook, Resource Guide for Supervisors and Employees.pdf",05_Legal_Authorities/Agency_Guidance,"05_Legal_Authorities/Agency_Guidance/HHS PMAP Handbook, Resource Guide for Supervisors and Employees.pdf",70,would_move,,matched 'handbook'
"HHS-IHS-0614-2023 Dismissal Letter Turnage, K.pdf",00_Admin/Correspondence,,65,review_only,,matched 'letter'
Hospital Policy For Policy Committee.pdf,04_Exhibits/Medical_Records,04_Exhibits/Medical_Records/Hospital Policy For Policy Committee.pdf,85,would_move,,matched 'hospital'
Hostile Work Environment Bertha Edison.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Hostile Work Environment claim E.Hill.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
I.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Implementation of Revised Policy Review Cycle per IHM Transmittal Notice 24-16 Signed.pdf,04_Exhibits/Policies,04_Exhibits/Policies/Implementation of Revised Policy Review Cycle per IHM Transmittal Notice 24-16 Signed.pdf,75,would_move,,matched 'policy'
Implementation of Revised Policy Review Cycle per IHM Transmittal Notice 24-16.pdf,04_Exhibits/Policies,04_Exhibits/Policies/Implementation of Revised Policy Review Cycle per IHM Transmittal Notice 24-16.pdf,75,would_move,,matched 'policy'
Informal Documents Packet w Page Numbers KT.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Jodi_OMalley_PIMC_Web_Exhibit_Binder.pdf,04_Exhibits/Exhibit_Binders,04_Exhibits/Exhibit_Binders/Jodi_OMalley_PIMC_Web_Exhibit_Binder.pdf,85,would_move,,matched 'binder'
Joint Commission Acknowledgement.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Joint Commission Response.pdf,02_Pleadings/Responses,02_Pleadings/Responses/Joint Commission Response.pdf,70,would_move,,matched 'response'
JULY 11 2025 FILING.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
July 18th 2025 Email Chain Return of Government Equipment.pdf,00_Admin/Correspondence,,65,review_only,,matched 'email chain'
"June 13, 2025 Memo Override Signed.pdf",02_Pleadings/Briefs,"02_Pleadings/Briefs/June 13, 2025 Memo Override Signed.pdf",70,would_move,,matched 'memo'
June 25 2025 CEO Violation of IHM Transmittal 24-16.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
JW CCC Team Splits.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
K Turnage Affidavit T  Greve Complaint .pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/K Turnage Affidavit T  Greve Complaint .pdf,80,would_move,,matched 'complaint'
Karyn Starr MS Teams conversation April.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Keep _ kdturnage@protonmail 083123 Greve Issue Regarding Hostile Work Environment.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Keep _ kdturnage@protonmail Retaliation and Discrimination Email 12212022 @1505.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Kevin Turnage Protected Disclosure and Retaliation Timeline.pdf,06_Research/Timelines,06_Research/Timelines/Kevin Turnage Protected Disclosure and Retaliation Timeline.pdf,90,would_move,,matched 'timeline'
Krumenacker Witness Statement to Investigator.pdf,06_Research/Witness_Notes,06_Research/Witness_Notes/Krumenacker Witness Statement to Investigator.pdf,70,would_move,,matched 'witness'
Krumenacker.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
"Labeling of Specimen Containers, Colored Cassettes, & Slides 18265459.pdf",98_Needs_Review/Uncertain,,0,review_only,,no confident match
LEGAL BRIEF  Re- Legal Authority of Federal Register Document 2024-31273 in Support of the Compliance Classification of the Policy and Procedures Officer (PX3147)  .pdf,04_Exhibits/Policies,04_Exhibits/Policies/LEGAL BRIEF  Re- Legal Authority of Federal Register Document 2024-31273 in Support of the Compliance Classification of the Policy and Procedures Officer (PX3147)  .pdf,150,would_move,,matched 'policy' | matched 'procedure'
LEGAL BRIEF  Re- Legal Authority of Federal Register Document 2024-31273 in Support of the Compliance Classification of the Policy and Procedures Officer (PX3147)  _Final.pdf,04_Exhibits/Policies,04_Exhibits/Policies/LEGAL BRIEF  Re- Legal Authority of Federal Register Document 2024-31273 in Support of the Compliance Classification of the Policy and Procedures Officer (PX3147)  _Final.pdf,150,would_move,,matched 'policy' | matched 'procedure'
LEGAL BRIEF IN SUPPORT OF OSC COMPLAINT.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/LEGAL BRIEF IN SUPPORT OF OSC COMPLAINT.pdf,80,would_move,,matched 'complaint'
Legal Brief TRLLC.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Legal Brief TRLLC.pdf,70,would_move,,matched 'brief'
Legal Consequences of CEOΓÇÖs Refusal to Implement Binding IHS Policy Directives under TN 24-16.pdf,04_Exhibits/Policies,04_Exhibits/Policies/Legal Consequences of CEOΓÇÖs Refusal to Implement Binding IHS Policy Directives under TN 24-16.pdf,75,would_move,,matched 'policy'
Legal Statement for OIG Submission 04142025.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/Legal Statement for OIG Submission 04142025.pdf,115,would_move,,matched 'oig' | government-agency acronym
LEGAL SYNTHESIS BRIEF Authority and Compliance Function of PX3147.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/LEGAL SYNTHESIS BRIEF Authority and Compliance Function of PX3147.pdf,70,would_move,,matched 'brief'
legal_repo_reorganizer.py,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/legal_repo_reorganizer.py,925,would_move,,matched 'gao' | matched 'oig' | matched 'cms' | matched 'eeoc' | matched 'mspb' | matched 'opm' | matched 'inspector general' | matched 'audit report'
legal_tree.html,02_Pleadings/Complaints,02_Pleadings/Complaints/legal_tree.html,400,would_move,,matched 'complaint' | matched 'amended complaint' | matched 'fac' | matched 'tac' | matched 'fourth amended'
Letter of Directive email 032323 1159.pdf,05_Legal_Authorities/Agency_Guidance,05_Legal_Authorities/Agency_Guidance/Letter of Directive email 032323 1159.pdf,70,would_move,,matched 'directive'
letter of Directive email 032823 1136.pdf,05_Legal_Authorities/Agency_Guidance,05_Legal_Authorities/Agency_Guidance/letter of Directive email 032823 1136.pdf,70,would_move,,matched 'directive'
make-gitattributes.ps1,99_Archive,99_Archive/make-gitattributes.ps1,95,would_move,,matched 'archive'
"March 22, 2025 email to Pope.pdf",98_Needs_Review/Uncertain,,0,review_only,,no confident match
March 23 2023 OSC Filing.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
"March 31, 2023 Detail.pdf",98_Needs_Review/Uncertain,,0,review_only,,no confident match
March 9 2026 BRIEF IN SUPPORT OF COMPLAINANT’S APPEAL.pdf,10_Post_Judgment/Appeal,10_Post_Judgment/Appeal/March 9 2026 BRIEF IN SUPPORT OF COMPLAINANT’S APPEAL.pdf,93,would_move,,path/name mentions 10_Post_Judgment/Appeal | matched 'appeal'
May 15 Complaint.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/May 15 Complaint.pdf,80,would_move,,matched 'complaint'
May 30 2025 Governing Body Memorandum cc Congress and Senate.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/May 30 2025 Governing Body Memorandum cc Congress and Senate.pdf,140,would_move,,matched 'memorandum' | matched 'memo'
McCabe Emails.pdf,04_Exhibits/Emails,,8,review_only,,path/name mentions 04_Exhibits/Emails
Meet‑and‑Confer – Joint Case‑Management Plan – CV‑25‑03367‑PHX‑SMB Email and Attachment.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/Meet‑and‑Confer – Joint Case‑Management Plan – CV‑25‑03367‑PHX‑SMB Email and Attachment.pdf,80,would_move,,matched 'tac'
Meet‑and‑Confer – Joint Case‑Management Plan – CV‑25‑03367‑PHX‑SMB Email.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Memo 052125.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Memo 052125.pdf,70,would_move,,matched 'memo'
"Memo and Email to Governing Body on March 21, 2025.pdf",02_Pleadings/Briefs,"02_Pleadings/Briefs/Memo and Email to Governing Body on March 21, 2025.pdf",70,would_move,,matched 'memo'
"Memo for Record June 13, 2025.pdf",02_Pleadings/Briefs,"02_Pleadings/Briefs/Memo for Record June 13, 2025.pdf",70,would_move,,matched 'memo'
Memo Legal and Regulatory reasons for Charters and Bylaws.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Memo Legal and Regulatory reasons for Charters and Bylaws.pdf,70,would_move,,matched 'memo'
